X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
-15.0,-14.0,8.383452277927148,1.0,-18.0,28.686548592644343,30.0,-17.0,-5.0,12.438176301791003,27.231186523434268
-22.0,-9.0,13.661792718989311,8.0,-22.0,4.818335464056375,29.0,-20.0,18.0,-22.842886124404217,28.0749279503113
-6.0,-9.0,9.85904184930748,18.0,-17.0,2.1485212866445167,28.0,-23.0,24.0,-13.952104384980343,27.68855344013119
-26.0,-18.0,-3.8238314382239658,-10.0,-15.0,-23.732634839153462,30.0,-12.0,27.0,-19.045376799067277,27.83630713500544
0.0,-5.0,6.22221312661906,10.0,-5.0,25.89720010227054,30.0,-12.0,-27.0,7.81055641064799,27.342607710469665
25.0,20.0,5.498537221730302,19.0,11.0,-7.08466372677179,30.0,-29.0,-28.0,22.86995079164062,23.616751950704746
14.0,21.0,29.80391494476728,-11.0,15.0,14.530879765381052,30.0,5.0,-25.0,-14.774942604793454,25.384651261640574
14.0,-2.0,14.415040985360001,-28.0,2.0,25.100005686511707,30.0,30.0,16.0,0.6653150273142217,25.815564708050065
29.0,-15.0,27.954960205829302,-15.0,-26.0,27.946516418261297,13.0,8.0,-27.0,5.86826217899587,25.76897906945148
10.0,-23.0,-27.96290227040732,-17.0,30.0,25.813915554060088,30.0,-4.0,-29.0,8.018917214588882,24.10837453255853
-13.0,6.0,-4.907342455324528,22.0,-15.0,26.23539597471251,30.0,-10.0,-7.0,4.147157902589235,25.314502672540613
-18.0,-20.0,19.655958645069944,28.0,-29.0,26.302031375328546,28.0,-28.0,-27.0,-28.537076056261036,26.79673295014279
24.0,-3.0,11.275939726231343,24.0,-26.0,27.945646553973766,30.0,-29.0,-27.0,-23.92387159767,25.202468606138577
4.0,-3.0,24.136168657000105,-6.0,12.0,-24.899180969366682,30.0,-14.0,-11.0,11.941568468403226,26.01967275409196
-21.0,-12.0,8.344820261549415,23.0,23.0,-29.035336936897636,30.0,7.0,25.0,4.52018433916863,26.979081696469574
