X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
-8.0,-10.0,5.981104408828813,8.0,-20.0,-2.3234532709246274,23.0,17.0,4.0,-10.502016794432976,17.53614250634298
1.0,7.0,10.0,15.0,-18.0,7.0,29.0,19.0,31.0,-22.3681640625,17.015266630236145
1.0,5.0,10.004366783467583,-1.0,-26.0,7.021949690944873,-5.0,17.0,32.0,-7.180003764167823,17.20668775150966
-5.0,1.0,2.3326256396803373,26.0,-22.0,-18.961026057444982,22.0,29.0,28.0,-16.481152654769403,17.231397393104317
-7.0,1.0,2.9828394803949916,11.0,7.0,-2.0483277076382476,28.0,-11.0,31.0,3.693482591817763,18.76231635285297
-9.0,1.0,-4.11213291130356,-9.0,-1.0,7.120914701272154,28.0,-15.0,6.0,22.70315064777542,15.17637238789158
8.0,16.0,12.054807414594494,-4.0,-6.0,2.6209333706339266,27.0,-8.0,6.0,8.472578652535452,14.25625235128551
-10.0,29.0,-22.89815976650353,-21.0,11.0,29.34506252268551,29.0,-21.0,11.0,26.654483313148702,12.941527265193999
3.0,4.0,10.104233023219509,15.0,1.0,7.171991022687864,28.0,-15.0,4.0,13.52615798601406,14.426813283505696
-9.0,2.0,3.026580343963566,-25.0,7.0,5.853289545841456,27.0,-22.0,9.0,3.649823814885515,13.35873955679463
-27.0,-14.0,-26.790628245857455,-3.0,16.0,-10.798054924983546,27.0,29.0,21.0,21.398563946856783,14.076173379420595
1.0,4.0,10.050094564513788,15.0,10.0,7.031620203943998,28.0,10.0,17.0,11.092788089559578,14.978669590260575
-11.0,-8.0,11.825003342464889,-23.0,-11.0,-9.063345017997452,28.0,-14.0,27.0,19.708608979310398,13.582289943711666
2.0,-25.0,-13.58207397483205,-26.0,14.0,25.79331392077207,28.0,-1.0,-15.0,22.24749498050594,14.70523769134138
-6.0,1.0,-8.58518601428879,14.0,-12.0,-13.881941196177415,28.0,-29.0,5.0,24.31408235064299,14.29176721344918
-9.0,29.0,-3.970141174498327,-14.0,20.0,11.182199484333772,30.0,26.0,-3.0,3.902427473137493,14.627718525228202
-24.0,-21.0,-25.091333330621374,-7.0,-5.0,28.126609187326636,29.0,-15.0,20.0,0.4431415178672182,14.939438906087931
-9.0,4.0,4.7787828713425204,1.0,-2.0,7.529338318467247,27.0,-8.0,13.0,28.35445745173934,14.686259744472645
-21.0,4.0,10.0,1.0,-15.0,7.0,27.0,6.0,31.0,29.3994140625,13.202027806651685
-28.0,4.0,25.480773786000277,27.0,9.0,9.596677973781837,29.0,-19.0,12.0,26.2449495023454,14.543889385700288
-8.0,22.0,-25.62906773860751,11.0,0.0,-28.81800113508365,29.0,4.0,-28.0,29.43548943162169,13.717549477507015
1.0,5.0,22.993534415208387,15.0,-1.0,20.18185078658752,27.0,6.0,32.0,26.65760664671031,14.705317404911927
-9.0,23.0,-8.882598022968846,-15.0,21.0,6.5249228281935885,27.0,-29.0,-16.0,29.628778544210384,15.551832886794672
1.0,4.0,-5.4931640625,15.0,5.0,22.3095703125,29.0,6.0,31.0,11.8212890625,15.04389862713654
-14.0,-8.0,11.04100917030658,2.0,6.0,15.572207635164418,30.0,-6.0,21.0,28.20287472497497,14.874231670085699
28.0,-8.0,-4.905327153230136,-14.0,-3.0,9.227794557891102,27.0,-14.0,30.0,-26.03217105437244,14.393976136849142
-4.0,-20.0,-3.9959570087453216,0.0,-3.0,26.8667164955201,27.0,-7.0,-5.0,28.759250986827738,14.3871278484277
-11.0,18.0,3.9404447573450128,3.0,0.0,-6.803166524278261,29.0,3.0,-8.0,19.19934853530274,15.055617831104987
-11.0,-4.0,0.8023483953697657,23.0,23.0,24.17852005062185,29.0,-27.0,-22.0,28.642214181705867,15.533910927026
1.0,4.0,2.633056640625,-12.0,-1.0,7.0,28.0,6.0,31.0,28.560791015625,14.43066782492406
1.0,4.0,-0.9521484375,-8.0,-2.0,7.0,28.0,6.0,31.0,-5.2001953125,13.380514759647328
1.0,4.0,-0.9521484375,-8.0,-2.0,7.0,28.0,6.0,-5.0,3.0,12.101220262846619
3.0,4.0,-6.246298010549067,-9.0,-2.0,7.031215892943172,28.0,7.0,25.0,3.1435156505907518,11.289105534389478
21.0,4.0,-17.63671875,-9.0,-1.0,7.0,28.0,6.0,31.0,3.0,12.53932857740777
23.0,4.0,-0.8642578125,-11.0,-4.0,7.0,29.0,6.0,31.0,3.0,12.505039932881486
1.0,4.0,-0.9521484375,-8.0,-2.0,7.0,28.0,6.0,31.0,-5.2001953125,10.02116944904963
1.0,4.0,-0.9521484375,-8.0,-2.0,7.0,28.0,6.0,31.0,-5.2001953125,9.212345260374867
1.0,4.0,-0.9521484375,-8.0,-2.0,7.0,28.0,6.0,-5.0,3.0,10.003066278219377
1.0,4.0,-2.098388671875,-11.0,25.0,7.0,28.0,6.0,31.0,-11.649169921875,12.17849779893427
1.0,4.0,20.225830078125,-10.0,-2.0,7.0,27.0,6.0,31.0,-7.840576171875,12.797007928936749
1.0,4.0,-0.9521484375,-8.0,-2.0,7.0,28.0,6.0,31.0,-5.2001953125,9.194038580158253
2.0,4.0,-0.9276051675874205,-8.0,-2.0,7.0055683070833865,29.0,7.0,-5.0,3.0640791707955044,10.77427042046119
1.0,4.0,6.36474609375,1.0,-2.0,7.0,29.0,6.0,31.0,-13.38134765625,12.202987144523597
8.0,4.0,5.511474609375,11.0,-2.0,7.0,28.0,6.0,31.0,3.0,10.809482690147904
1.0,4.0,-11.455078125,-3.0,-2.0,7.0,29.0,6.0,8.0,3.0,12.284229721492316
1.0,4.0,6.36474609375,1.0,-2.0,7.0,29.0,6.0,31.0,-13.38134765625,9.806179098570489
-5.0,4.0,4.354248046875,-6.0,1.0,7.0,28.0,6.0,31.0,3.0,12.64622657648853
2.0,5.0,-0.9488568326187956,-8.0,-1.0,7.095096541407787,29.0,6.0,-4.0,3.016268413147079,10.800281326554671
1.0,5.0,6.421979604767063,1.0,-2.0,7.043490581215532,30.0,7.0,31.0,-13.345843875143727,9.186750222059233
1.0,4.0,5.88134765625,0.0,-5.0,7.0,29.0,26.0,31.0,3.0,11.321003081141512
1.0,4.0,14.981689453125,-6.0,0.0,7.0,29.0,6.0,31.0,-18.182373046875,11.02140697911871
2.0,4.0,2.38037109375,1.0,-16.0,7.0,29.0,6.0,31.0,3.0,10.902408647578156
1.0,4.0,5.88134765625,0.0,-5.0,7.0,29.0,26.0,31.0,3.0,9.889121713655022
1.0,4.0,5.88134765625,0.0,-5.0,7.0,29.0,6.0,26.0,3.0,9.787365756903863
0.0,4.0,1.87312855146725,-8.0,-10.0,7.048514938593956,29.0,6.0,32.0,3.040953332998315,10.383017529024887
1.0,4.0,6.36474609375,1.0,-2.0,7.0,29.0,6.0,31.0,-13.38134765625,8.527917604362514
29.0,4.0,5.99853515625,0.0,-4.0,7.0,29.0,6.0,31.0,3.0,11.370462058802678
-6.0,5.0,2.48297197309788,-1.0,-6.0,7.0383774314310354,29.0,6.0,31.0,3.0150604041835507,10.251856814151395
-18.0,4.0,9.6148681640625,-4.0,-5.0,7.0,29.0,6.0,31.0,3.0,11.892928463596865
6.0,4.0,7.745361328125,-6.0,1.0,7.0,29.0,6.0,31.0,3.0,10.542156799479521
-26.0,4.0,0.3662109375,15.0,-1.0,7.0,29.0,6.0,-19.0,3.0,12.604351341910542
0.0,4.0,0.076904296875,2.0,-3.0,7.0,28.0,6.0,31.0,3.0,10.445064915147812
0.0,5.0,0.14918904037219854,3.0,-3.0,7.01316297994144,28.0,7.0,31.0,3.0096070811713864,7.843443159097741
