executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
7,29598,35,34,false,75,0.608136062800897,0.7373696043671039,66,false,65,991,64,3.227832354243249,0.6273649015769248,73,lzf,77,86,false,94,19,201,146,10,true,false,true,true,org.apache.spark.serializer.JavaSerializer,43.182
13,28842,22,10,true,70,0.631275229045086,0.7733494225150769,112,true,31,998,99,1.492340507759975,0.30243858352343533,85,lz4,80,25,true,30,54,339,182,10,true,false,false,false,org.apache.spark.serializer.JavaSerializer,40.518
12,29743,13,19,true,39,0.6432161668002926,0.8486357475747718,43,true,38,290,19,2.953979860152654,0.3001988087800411,52,lz4,81,19,false,55,87,430,231,10,false,false,true,false,org.apache.spark.serializer.KryoSerializer,41.263
7,27615,39,24,false,67,0.8453187742392482,0.8361837215575111,100,true,67,722,19,1.2357364565330524,0.4322371961085507,62,lz4,72,23,false,106,51,301,245,3,false,true,false,true,org.apache.spark.serializer.KryoSerializer,41.989
14,26920,8,8,false,10,0.67034912109375,0.88836669921875,32,false,38,200,20,1.5,0.2706298828125,110,lz4,64,15,true,64,64,50,183,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,41.557
10,29434,8,8,false,96,0.85888671875,0.84814453125,32,false,48,758,21,1.5,0.75,120,lz4,64,36,true,64,64,50,67,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,44.017
10,30737,25,44,false,18,0.6409420410798937,0.8999589096100145,72,true,127,434,21,2.955133588144529,0.5167526491016513,125,lzf,102,56,true,11,19,178,369,2,false,true,true,false,org.apache.spark.serializer.KryoSerializer,43.57
14,32032,45,41,true,67,0.8756056103977247,0.60741011025425,43,true,81,995,31,2.3309626915121804,0.41425673778650696,83,lzf,95,27,true,25,77,432,24,4,false,true,true,false,org.apache.spark.serializer.JavaSerializer,40.324
12,30050,47,47,true,94,0.951621121450448,0.9876795983151301,55,true,116,957,23,4.84369077574458,0.769128591371062,108,lz4,124,13,true,128,13,321,203,9,true,false,true,false,org.apache.spark.serializer.KryoSerializer,42.211
15,32522,36,25,false,40,0.9508493582300683,0.998853909157478,30,false,97,957,51,1.7601430001987186,0.9345924074829982,126,lz4,81,12,false,13,44,357,184,10,false,false,true,false,org.apache.spark.serializer.KryoSerializer,41.539
15,30194,43,17,true,48,0.8844338957227409,0.8309963652909084,106,false,58,677,23,2.5271016958058796,0.46603855163959373,88,lz4,118,128,false,57,54,411,25,8,false,true,false,false,org.apache.spark.serializer.JavaSerializer,40.551
12,30064,8,8,false,10,0.6,0.89453125,32,false,99,430,23,1.5,0.0546875,69,lz4,101,12,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,42.627
15,29038,8,8,false,10,0.70947265625,0.80908203125,32,false,49,978,60,1.5,0.5283203125,73,lz4,64,32,true,64,64,50,171,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,42.271
5,32865,29,26,true,31,0.9368864796629809,0.9086294174586216,59,false,110,235,23,1.6704615978730821,0.17302426802480683,55,lz4,68,13,false,37,115,426,152,5,false,false,false,false,org.apache.spark.serializer.KryoSerializer,46.082
13,33061,8,8,false,10,0.597412109375,0.941162109375,19,false,48,200,24,1.5,0.87451171875,62,lz4,64,21,true,64,64,50,385,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,45.223
3,26662,21,24,false,64,0.9150324552044743,0.882472290845369,107,false,21,665,24,1.834885766604606,0.6756131277558142,79,lzf,114,9,true,34,48,98,159,7,false,true,false,false,org.apache.spark.serializer.JavaSerializer,41.464
15,30944,12,36,false,24,0.9049257520777578,0.7672526707694265,27,true,6,370,24,1.5650081451361855,0.909064181096667,70,lz4,89,3,true,17,19,115,106,7,true,false,true,false,org.apache.spark.serializer.JavaSerializer,41.75
6,28575,38,12,false,23,0.6766897903104423,0.7790688681981481,20,true,101,975,25,2.3021751417049794,0.6425702604570164,127,lz4,74,9,false,126,76,196,187,7,false,true,false,true,org.apache.spark.serializer.JavaSerializer,40.895
16,28310,22,46,true,42,0.932535571572838,0.7674890591469433,47,true,105,976,57,2.2227483504388714,0.9864641087180193,72,lzf,87,106,true,63,63,356,126,4,true,true,false,true,org.apache.spark.serializer.KryoSerializer,42.103
11,28376,8,8,false,10,0.7794189453125,0.6954345703125,32,false,100,200,25,1.5,0.75,94,lz4,76,25,true,64,64,50,66,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,41.755
16,32339,22,24,false,92,0.7933454191562728,0.7925213663002593,24,true,82,998,35,2.455342044995123,0.1557189736066812,67,lzf,114,53,false,32,32,431,138,5,true,true,true,true,org.apache.spark.serializer.JavaSerializer,40.867
14,28177,40,14,false,69,0.6788872783478818,0.7940512363224657,110,false,37,408,25,1.1835851729399496,0.6711967741369433,29,lzf,99,37,false,41,103,467,393,10,false,true,false,false,org.apache.spark.serializer.JavaSerializer,42.07
10,32676,35,13,false,51,0.7679578939543447,0.8062132005711025,29,true,35,679,25,2.797418295537173,0.37883743382990365,80,lz4,103,59,false,37,90,163,156,8,false,false,true,false,org.apache.spark.serializer.JavaSerializer,42.493
11,33919,38,17,true,64,0.642627092683194,0.6078279691620511,98,false,27,851,43,1.8260674639483236,0.28033219123110587,108,lzf,69,96,false,19,128,123,157,9,true,false,false,true,org.apache.spark.serializer.KryoSerializer,43.819
2,33836,23,18,true,97,0.9264473955904428,0.8347288568980821,73,false,30,303,94,1.3566493162553908,0.35519605175434077,98,lz4,68,25,true,123,85,357,161,5,false,true,false,false,org.apache.spark.serializer.KryoSerializer,68.722
15,28274,8,8,false,10,0.6,0.921844482421875,32,false,115,200,25,1.5,0.75,100,lz4,117,29,true,64,64,274,263,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,41.621
14,31926,42,9,false,99,0.6729558621454433,0.6565433420695274,72,true,89,880,70,2.419934226373875,0.2786684211711279,128,lz4,98,26,false,15,90,488,398,6,false,true,true,false,org.apache.spark.serializer.KryoSerializer,40.841
14,33394,8,8,false,10,0.6,0.5,32,false,69,200,25,1.5,0.75,38,lz4,127,86,true,87,64,362,76,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,46.419
15,28678,48,24,true,75,0.8596187212732705,0.6295646244326466,57,true,65,825,26,2.4456875066562853,0.8685282841670311,111,lz4,98,69,false,84,46,157,250,4,false,true,false,true,org.apache.spark.serializer.KryoSerializer,42.846
