executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
12,39261,24,45,true,96,0.6069661233411936,0.6011160176643794,75,false,127,506,61,1.768722448518394,0.711866698077882,95,lzf,119,62,true,40,116,158,131,9,false,false,true,false,org.apache.spark.serializer.JavaSerializer,234.812
9,27403,20,12,true,21,0.853588970337702,0.9600425935729631,98,false,5,247,53,4.431979207279797,0.18410352524072382,36,lzf,104,75,false,62,125,316,486,5,true,false,false,false,org.apache.spark.serializer.KryoSerializer,138.622
8,34710,23,36,true,33,0.9567107562521259,0.6067705186958646,27,true,15,103,16,3.94583375561135,0.8380344804347508,24,lz4,78,33,false,39,79,234,476,4,true,true,false,false,org.apache.spark.serializer.KryoSerializer,174.629
1,25600,27,8,false,66,0.6,0.897216796875,32,false,48,621,47,1.5,0.96728515625,4,lz4,64,46,true,14,64,50,287,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,224.678
1,43186,12,8,false,83,0.6,0.81494140625,18,false,48,200,100,1.5,0.2998046875,4,lz4,64,65,true,41,11,50,315,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,449.955
1,35644,42,8,false,80,0.6,0.7861328125,32,false,48,200,85,1.5,0.013671875,4,lz4,85,99,true,64,64,202,485,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,338.393
4,33600,16,39,false,41,0.9767570494201707,0.654010721144564,87,false,112,548,22,2.9988005883551,0.6132645044882364,60,lz4,108,116,false,41,94,375,447,6,true,false,true,false,org.apache.spark.serializer.JavaSerializer,172.094
1,25600,8,8,false,14,0.6,0.6024169921875,32,false,70,200,100,2.7841796875,0.618896484375,124,lz4,96,32,true,124,64,79,24,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,215.72
4,36905,12,20,false,27,0.6605246293815308,0.6726935851187773,78,true,3,378,38,2.180860351209839,0.8861005835295149,20,lz4,85,73,false,37,51,137,353,2,false,true,true,false,org.apache.spark.serializer.KryoSerializer,157.212
1,25600,8,37,false,60,0.988037109375,0.5,124,false,94,200,55,1.5,0.03076171875,4,lz4,64,32,true,76,64,103,490,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,272.863
12,37491,16,50,true,62,0.6395992481644597,0.9941844314220811,10,true,109,951,71,2.7177316201761745,0.4783015569898249,3,lz4,115,53,false,72,37,258,292,6,true,false,true,false,org.apache.spark.serializer.KryoSerializer,174.3
1,28745,8,36,false,27,0.7926025390625,0.5,32,false,82,200,100,1.5,0.217529296875,11,lz4,64,101,true,64,49,316,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,366.594
1,34413,8,22,false,70,0.60479736328125,0.5,32,false,12,200,100,1.5,0.2838134765625,53,lz4,64,102,true,37,64,120,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,386.51
6,29312,48,38,true,32,0.9012405631617356,0.9912666967606866,10,false,104,465,75,4.750915396525594,0.32770782444261837,87,lz4,117,14,false,27,60,434,488,9,false,true,false,false,org.apache.spark.serializer.JavaSerializer,185.869
12,26662,42,28,true,11,0.6303405159802212,0.8937666407766305,57,true,72,521,36,3.55263091860943,0.7645145681519961,13,lz4,124,82,true,36,61,202,149,7,true,true,false,true,org.apache.spark.serializer.JavaSerializer,157.178
