executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
1,25600,8,45,false,10,0.97900390625,0.85498046875,32,false,60,951,53,1.5,0.75,4,lz4,88,32,true,31,68,206,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,522.429
1,25600,8,16,false,62,0.5404052734375,0.8489990234375,32,false,82,525,64,1.5,0.75,4,lz4,70,32,true,64,35,443,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,570.83
1,25600,8,22,false,89,0.6,0.9407958984375,32,false,123,200,55,2.3447265625,0.75,72,lz4,90,32,true,64,64,182,318,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,522.819
5,33603,40,18,false,58,0.6668692705260313,0.7995004003796806,80,true,126,528,91,4.986613103350818,0.32276230319335997,50,lz4,88,46,true,60,17,158,416,3,false,true,false,false,org.apache.spark.serializer.JavaSerializer,381.155
1,25600,12,8,false,57,0.96771240234375,0.68670654296875,32,false,48,157,100,1.5,0.0946044921875,31,lz4,64,110,true,64,64,90,55,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,641.579
8,39789,45,17,false,58,0.6640886762739184,0.799640311527003,78,false,79,816,32,3.50934086932548,0.5800802019620457,75,lz4,84,38,false,57,12,161,392,7,false,false,false,true,org.apache.spark.serializer.JavaSerializer,383.875
15,37837,36,47,true,66,0.610174569019373,0.9201060197335795,38,true,75,612,72,3.005898333243409,0.8116240079488554,93,lz4,78,31,true,120,58,361,472,3,true,true,false,true,org.apache.spark.serializer.JavaSerializer,610.012
8,29278,25,21,false,10,0.6,0.93719482421875,32,false,27,200,100,1.5,0.1934814453125,57,lz4,64,32,true,64,64,488,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,481.152
1,25600,8,8,false,31,0.72576904296875,0.88763427734375,40,false,100,200,39,1.5,0.1680908203125,4,lz4,64,32,true,98,64,183,83,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,625.363
15,25600,8,8,false,83,0.6,0.86236572265625,32,false,50,115,84,1.5,0.1541748046875,48,lz4,102,32,true,64,64,50,291,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,498.262
16,35527,48,40,false,13,0.8866588349583959,0.6923657764144282,72,false,83,686,60,2.5217724124987435,0.9470138764222162,46,lz4,86,112,false,61,121,56,222,6,true,true,false,false,org.apache.spark.serializer.JavaSerializer,485.4
1,43730,8,8,false,54,0.6,0.7860107421875,18,false,100,200,88,2.8427734375,0.75,4,lz4,64,103,true,64,64,386,43,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,859.603
1,42238,8,8,false,44,0.6,0.73577880859375,57,false,49,200,28,1.5,0.75,4,lz4,106,39,true,64,64,50,431,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,638.983
