executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
7,28535,11,40,false,47,0.7491384758962699,0.706542989732429,48,true,17,625,70,3.9805304762226403,0.2085397814790738,67,lzf,80,35,false,84,97,282,310,4,true,true,false,false,org.apache.spark.serializer.KryoSerializer,86.729
1,25600,9,8,false,10,0.79803466796875,0.80560302734375,8,false,35,978,72,1.5,0.75,4,lz4,64,32,true,99,64,50,312,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,156.56
6,25600,29,8,false,10,0.63079833984375,0.5,73,false,48,422,57,1.5,0.0216064453125,4,lz4,64,40,true,96,64,50,466,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,107.399
1,25600,39,11,false,62,0.545654296875,0.5,91,false,48,426,100,1.5,0.47705078125,77,lz4,64,32,true,28,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,159.193
9,30376,48,10,true,77,0.9092674733277827,0.7689663748657329,40,false,15,336,11,1.7629449910508415,0.8325594413957008,20,lz4,112,9,false,22,49,481,335,3,false,false,true,false,org.apache.spark.serializer.JavaSerializer,82.263
4,34520,45,47,true,54,0.7426708687979865,0.6832638807764391,81,true,16,389,97,4.786529965843705,0.6932291542002769,123,lzf,97,75,true,20,94,258,399,6,true,true,true,false,org.apache.spark.serializer.KryoSerializer,84.985
2,36078,45,9,true,93,0.7536758532370613,0.7481493153454669,38,true,66,443,36,3.937113528247085,0.3739360952065587,93,lz4,123,44,true,56,81,264,234,3,false,true,true,false,org.apache.spark.serializer.JavaSerializer,126.921
3,38722,31,48,true,36,0.6302143887675736,0.6011434121935507,34,false,116,748,24,4.9564522584531625,0.4873285737745314,18,lzf,98,80,false,92,54,471,218,10,false,false,false,true,org.apache.spark.serializer.KryoSerializer,126.289
5,43606,8,8,false,10,0.6,0.85955810546875,32,false,48,960,100,3.07373046875,0.75,117,lz4,70,127,true,64,64,59,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,163.512
15,27346,16,25,false,42,0.857272104630671,0.8504177598342797,89,true,50,405,76,3.066285600444173,0.9464634741817076,51,lzf,108,53,false,116,52,372,426,6,true,true,false,false,org.apache.spark.serializer.JavaSerializer,88.842
5,26360,8,22,false,10,0.7032470703125,0.6959228515625,32,false,48,686,100,1.5,0.627197265625,4,lz4,64,123,true,64,64,100,120,7,true,true,true,false,org.apache.spark.serializer.JavaSerializer,105.373
7,33507,21,19,true,64,0.8503189066679693,0.7030830731424402,20,true,113,615,31,1.135315497917246,0.5932960744931962,45,lz4,128,18,true,122,59,243,279,6,true,false,true,false,org.apache.spark.serializer.JavaSerializer,81.005
1,25600,8,38,false,10,0.53057861328125,0.5,32,false,48,977,67,2.06884765625,0.0777587890625,52,lz4,64,32,true,81,45,417,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,145.591
1,34339,29,45,false,10,0.743408203125,0.862548828125,32,false,48,200,100,2.404296875,0.82275390625,68,lz4,64,32,true,89,64,265,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,218.121
14,25600,8,34,false,81,0.56292724609375,0.5,32,false,48,736,100,4.12353515625,0.4215087890625,36,lz4,64,32,true,64,64,271,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,113.643
1,37990,12,29,false,10,0.6,0.5,32,false,48,499,100,1.5,0.2440185546875,66,lz4,64,125,true,52,25,416,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,262.738
15,26912,48,38,true,18,0.6785212503406248,0.6372356593435169,113,false,47,856,100,1.8187835139236617,0.616695730873051,24,lz4,71,111,true,100,26,162,83,3,true,false,false,false,org.apache.spark.serializer.KryoSerializer,109.077
