executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
1,26936,8,8,false,24,0.5648193359375,0.5,106,false,112,200,54,2.7138671875,0.572998046875,115,lz4,64,32,true,64,64,142,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,237.092
16,27301,36,15,false,90,0.9093323751199598,0.9015104173790196,48,false,113,776,89,2.0731345974727984,0.1920565944418571,89,lzf,69,4,false,49,103,243,393,8,false,true,true,true,org.apache.spark.serializer.JavaSerializer,53.199
14,28575,10,10,true,69,0.837176793993154,0.7830607567046792,47,false,108,884,91,3.1925810928808707,0.3864527339571536,46,lz4,108,37,false,27,106,83,66,7,true,false,true,true,org.apache.spark.serializer.KryoSerializer,55.238
6,39879,40,49,true,80,0.6101409158416714,0.6793426307455512,90,true,52,414,22,2.6217221140740774,0.2638438936778943,74,lz4,113,108,true,82,70,127,285,5,false,true,true,false,org.apache.spark.serializer.KryoSerializer,95.941
1,25600,8,8,false,10,0.554443359375,0.5,103,false,23,905,100,4.923828125,0.75,4,lz4,74,58,true,8,64,178,86,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,229.911
1,25600,46,8,false,10,0.889892578125,0.5,32,false,105,106,100,3.068359375,0.75,4,lz4,66,96,true,20,64,399,205,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,233.413
1,25600,45,8,false,10,0.6,0.531005859375,32,false,114,209,100,1.392578125,0.75,4,lz4,76,120,true,37,64,168,52,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,233.891
12,39464,41,17,false,82,0.7415064546250227,0.9608884389073726,65,false,71,514,16,2.5905133299201055,0.5990232978624007,94,lz4,66,38,true,12,60,140,267,2,false,false,true,true,org.apache.spark.serializer.JavaSerializer,64.531
1,41914,35,16,false,64,0.6,0.70501708984375,59,false,48,200,100,2.99462890625,0.0806884765625,94,lz4,64,32,true,64,64,50,89,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,459.063
16,41024,19,17,false,80,0.8267081517788568,0.8847758831301642,60,true,106,943,47,2.464335987320147,0.6044669767639049,108,lzf,106,29,false,92,113,284,491,8,true,false,false,true,org.apache.spark.serializer.JavaSerializer,61.753
7,29542,41,19,false,10,0.67919921875,0.99755859375,109,false,48,200,100,3.47265625,0.1494140625,4,lz4,64,32,true,79,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,63.719
