executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
8,35126,45,48,false,61,0.9590522553536386,0.7621070308753495,3,false,76,368,50,1.6735834105622172,0.19779831358356414,41,lzf,115,3,false,65,85,201,30,3,true,true,true,false,org.apache.spark.serializer.KryoSerializer,56.456
4,27261,21,15,true,63,0.8447994415749023,0.800207269972346,119,true,75,328,93,1.3571179131353588,0.44510433202621147,21,lz4,101,25,true,67,42,86,172,3,false,false,true,true,org.apache.spark.serializer.JavaSerializer,46.348
4,39086,8,8,false,10,0.6,0.5,32,false,48,200,100,1.4111328125,0.75,104,lz4,126,32,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,45.01
12,27528,47,12,true,58,0.7799215773598237,0.9662187380026278,32,true,74,396,27,2.6099932974633893,0.8296030375941277,86,lz4,128,42,false,82,78,137,260,9,false,true,true,false,org.apache.spark.serializer.KryoSerializer,42.827
5,39445,44,39,false,63,0.8189633262690483,0.8281552526416417,56,true,60,250,67,1.463297670661389,0.8249577085066446,71,lzf,86,54,true,41,8,222,287,5,true,false,true,true,org.apache.spark.serializer.JavaSerializer,44.318
13,36555,14,11,true,52,0.6512617622315887,0.6591935785981049,112,true,61,676,70,3.2428565065707926,0.35161518414073023,41,lzf,113,17,false,54,98,463,22,5,false,false,true,true,org.apache.spark.serializer.KryoSerializer,45.551
5,30187,13,30,false,70,0.7201737148806305,0.7950925358616765,29,false,96,898,44,1.2990693737593813,0.28846949099091546,110,lz4,111,15,false,64,43,196,173,8,false,false,false,true,org.apache.spark.serializer.JavaSerializer,42.969
9,30065,44,20,false,69,0.6934705368412468,0.6324457611125794,53,true,36,668,29,1.466365440953017,0.7256122904156127,84,lz4,75,72,false,96,122,130,157,8,true,false,false,true,org.apache.spark.serializer.JavaSerializer,43.308
4,43058,34,19,true,54,0.7494125517594415,0.7274336438868192,32,true,39,392,52,3.043391303146172,0.7059638903715385,103,lzf,74,55,true,66,73,162,56,3,true,true,true,false,org.apache.spark.serializer.KryoSerializer,45.049
8,27496,13,20,false,78,0.7693606075477613,0.8539102767900649,46,false,64,597,59,1.2613826520870721,0.6387342755375376,54,lzf,67,16,true,69,63,487,71,7,false,false,false,false,org.apache.spark.serializer.JavaSerializer,42.63
11,32088,34,18,false,54,0.8223721712798532,0.8987492831758603,13,false,85,509,60,1.5275951394306224,0.38141474116559093,105,lz4,110,8,false,111,98,313,321,10,true,true,false,false,org.apache.spark.serializer.JavaSerializer,42.636
5,34615,19,23,true,88,0.9182743548277139,0.6086350503366939,118,false,83,541,89,1.4155311619424598,0.11142748500757513,60,lz4,68,11,true,43,76,267,191,7,true,false,false,false,org.apache.spark.serializer.JavaSerializer,46.913
15,37490,30,32,true,97,0.6612136932649209,0.856989982877727,23,true,87,207,81,1.1854558813443012,0.46479529353323934,78,lzf,65,78,true,42,23,221,354,7,true,false,false,true,org.apache.spark.serializer.JavaSerializer,47.357
3,38777,24,18,false,89,0.890377197267658,0.718919535711199,40,true,19,243,80,2.618444962198601,0.7411989027863005,49,lz4,124,46,true,71,35,472,42,5,true,false,false,true,org.apache.spark.serializer.JavaSerializer,64.667
7,35185,37,35,false,93,0.8652402534896778,0.9180534258900133,33,true,76,321,63,3.8965925360913456,0.6183824354853726,90,lzf,127,76,false,68,119,65,166,6,true,true,true,true,org.apache.spark.serializer.JavaSerializer,46.91
5,26641,24,20,true,48,0.6231895433560423,0.8237473159885456,73,true,38,359,80,4.0056772605381665,0.41763422289747687,106,lz4,100,75,false,92,77,184,46,6,false,true,false,true,org.apache.spark.serializer.JavaSerializer,43.366
8,33953,28,29,false,52,0.8517150149990353,0.8257898411064164,78,false,123,508,88,1.283881416325658,0.5763603353565341,114,lzf,119,52,true,50,56,190,74,6,true,true,true,true,org.apache.spark.serializer.JavaSerializer,46.145
9,39314,30,36,true,53,0.8410382396758045,0.7155635303227708,119,false,48,282,73,2.9484849222418585,0.5445394200023174,69,lzf,124,59,true,85,80,282,382,3,false,false,true,false,org.apache.spark.serializer.JavaSerializer,44.283
12,40505,30,18,false,57,0.9060833300191669,0.7004635612101285,97,false,71,618,65,1.4636380547919772,0.28872960719327895,110,lz4,80,114,false,86,24,334,125,7,true,true,false,false,org.apache.spark.serializer.JavaSerializer,44.603
7,43217,42,13,true,76,0.8058002117969991,0.8124866547919047,15,false,79,309,60,2.226899834608412,0.5517291595074963,66,lz4,111,31,false,37,36,62,129,2,false,true,false,true,org.apache.spark.serializer.KryoSerializer,42.395
3,37171,36,28,true,83,0.7792836456241419,0.9517068439450992,56,true,73,877,67,3.887907704365113,0.6217620501478732,104,lz4,77,25,true,113,118,93,447,2,true,false,false,false,org.apache.spark.serializer.JavaSerializer,65.446
11,33263,10,14,false,69,0.8598664187585716,0.8238982785455669,83,false,10,856,70,1.552840319348014,0.40012912154359304,87,lz4,78,73,false,102,14,245,191,8,false,true,false,false,org.apache.spark.serializer.JavaSerializer,44.349
7,39952,10,18,true,58,0.8741930097579271,0.76441859655407,73,true,53,921,67,1.5345514343385354,0.676878338118919,64,lzf,81,116,true,108,51,448,150,4,true,true,false,false,org.apache.spark.serializer.JavaSerializer,42.022
16,29719,17,29,false,82,0.7219775828675392,0.8620376814631387,95,true,87,551,51,1.4183113783954133,0.312429995613925,80,lzf,75,51,false,112,73,196,309,5,false,true,true,true,org.apache.spark.serializer.KryoSerializer,41.078
9,32145,33,33,false,62,0.7555463091956459,0.9188389677507822,73,true,112,910,53,1.1116265700281507,0.3302857752430133,50,lz4,111,31,false,23,62,355,445,6,false,true,false,true,org.apache.spark.serializer.KryoSerializer,44.857
10,41274,46,36,true,62,0.6878002909419134,0.9907229958736777,18,false,16,714,49,3.9154443252220044,0.19923041862247448,126,lz4,106,21,true,128,90,106,467,2,false,false,false,true,org.apache.spark.serializer.KryoSerializer,45.955
14,33062,16,16,true,70,0.8537827971114054,0.6769782327577524,55,false,28,988,50,1.6055333138941694,0.6973825170928363,76,lz4,91,6,true,119,6,252,58,2,false,true,true,true,org.apache.spark.serializer.JavaSerializer,44.803
