executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
11,16405,44,30,false,76,0.7353318269177967,0.6572201735753453,23,false,39,138,11,4.0989748403042,0.8918150358142214,41,lz4,118,107,true,18,18,361,177,6,true,false,true,false,org.apache.spark.serializer.JavaSerializer,80.039
3,39290,31,50,true,15,0.6817176143503547,0.815250624486821,64,false,17,995,35,3.912771431829977,0.8229997941169481,48,lz4,68,109,false,88,19,182,127,7,true,false,true,false,org.apache.spark.serializer.KryoSerializer,174.873
5,5016,9,17,false,96,0.8917801270735163,0.7609092468062479,117,false,92,140,98,1.9156285451850614,0.9403938983997037,124,lz4,126,10,true,54,91,77,469,4,false,true,false,true,org.apache.spark.serializer.JavaSerializer,54.196
12,12344,23,21,false,33,0.8300088577029411,0.8819507618694449,90,false,128,740,15,4.265061317931843,0.6066184169177131,8,lzf,94,78,false,53,81,415,153,6,true,false,true,true,org.apache.spark.serializer.JavaSerializer,57.457
6,25999,43,26,false,96,0.7715916579622395,0.9382138135359891,11,true,8,740,97,4.878484879869095,0.4241605523498817,111,lzf,120,50,true,74,91,278,406,10,false,true,true,false,org.apache.spark.serializer.KryoSerializer,87.32
6,25594,12,35,false,52,0.9521302018289397,0.6033159032000937,30,true,52,601,28,2.67582101432044,0.36586674660756857,102,lz4,114,82,true,111,57,62,89,9,true,false,true,true,org.apache.spark.serializer.KryoSerializer,59.361
14,8747,46,34,true,72,0.6743939575541906,0.9505550465611468,59,false,61,806,73,4.000293737677389,0.5004297904305665,30,lzf,93,128,false,103,50,195,249,5,true,true,false,true,org.apache.spark.serializer.KryoSerializer,53.191
11,14843,42,15,true,11,0.8712018626224005,0.7440667410212694,57,false,56,237,69,2.084401946273471,0.8276416526652532,4,lz4,103,64,false,119,32,283,198,2,false,true,false,true,org.apache.spark.serializer.JavaSerializer,56.36
16,19051,34,25,true,74,0.9186539751504592,0.8530136923735901,44,true,18,274,77,2.8400303870423382,0.5581769267525931,31,lzf,98,94,false,113,122,387,440,7,true,true,true,false,org.apache.spark.serializer.JavaSerializer,53.932
15,4984,16,29,false,74,0.6633875823713076,0.6820019588703533,16,false,94,504,13,4.4811341007554155,0.29832724886539014,53,lz4,108,5,false,128,24,321,327,4,true,false,true,true,org.apache.spark.serializer.JavaSerializer,53.942
15,34353,20,20,false,70,0.9924566536828092,0.8658893206772071,120,true,19,313,39,4.195400324563453,0.22937427541784208,71,lzf,90,53,false,65,41,298,309,9,true,false,true,true,org.apache.spark.serializer.JavaSerializer,63.549
6,3542,26,42,false,75,0.7000955276137134,0.9334589015631507,32,true,63,391,38,2.355360176167637,0.7842287865576207,128,lzf,101,59,true,44,99,461,130,8,true,false,false,true,org.apache.spark.serializer.KryoSerializer,54.63
14,4576,23,27,false,38,0.7809893623334729,0.6154921187410218,117,true,39,934,50,4.12973858663433,0.23134370672082252,106,lz4,75,23,true,31,118,315,380,5,false,false,false,false,org.apache.spark.serializer.KryoSerializer,55.867
14,22502,11,18,true,95,0.6703038484699827,0.874239629669538,117,false,73,274,64,3.1721592190453833,0.47086604592470416,112,lz4,74,54,false,38,115,233,138,8,true,false,true,false,org.apache.spark.serializer.KryoSerializer,55.175
6,9478,33,26,false,95,0.6433590582609612,0.9024097527160062,44,true,90,699,13,4.955357451312073,0.22604439991126762,45,lzf,74,34,true,109,4,252,107,3,true,false,true,false,org.apache.spark.serializer.JavaSerializer,53.815
5,20048,34,37,true,78,0.709900841588151,0.7508852979862768,26,false,49,296,98,1.9627808292544717,0.7166888093748273,34,lzf,125,11,false,61,16,349,459,4,false,true,true,false,org.apache.spark.serializer.JavaSerializer,63.959
13,10402,25,38,true,21,0.8364508156011353,0.9184392268845142,6,false,77,122,58,3.4108684049018545,0.2625008794085464,15,lzf,98,124,true,74,55,205,332,7,true,true,false,false,org.apache.spark.serializer.JavaSerializer,58.428
7,3954,41,40,false,64,0.8971933420187213,0.9495113104647789,99,false,98,415,83,4.30477529054843,0.25918993071304686,21,lz4,71,41,false,12,53,297,213,6,false,false,true,false,org.apache.spark.serializer.JavaSerializer,55.483
10,36253,42,48,false,47,0.913406306822003,0.9748513502163572,6,true,15,736,81,4.044773535399386,0.3013332909598833,13,lz4,104,72,false,73,15,167,140,2,true,false,true,false,org.apache.spark.serializer.KryoSerializer,66.071
4,24276,15,47,true,21,0.8443719803902958,0.7491714042036997,34,false,96,522,46,4.691079228838442,0.4335901176876018,110,lz4,95,25,false,127,93,246,245,5,false,false,true,true,org.apache.spark.serializer.JavaSerializer,74.438
11,34198,28,18,true,32,0.6697278486968549,0.8254666383019493,33,false,34,766,59,1.2967199703946792,0.7582822180126455,87,lzf,77,96,true,77,74,357,32,5,true,true,false,true,org.apache.spark.serializer.JavaSerializer,62.744
15,7871,36,39,false,20,0.7464354597629059,0.8891305318414635,114,true,126,795,86,1.9595701810536077,0.2516786018720285,52,lzf,74,74,false,41,52,262,381,4,false,true,false,true,org.apache.spark.serializer.KryoSerializer,53.34
2,18130,33,26,true,40,0.8628224918693541,0.8551605709602894,113,true,39,963,57,2.8513207803953753,0.8170411861179936,24,lz4,122,60,false,67,32,64,243,6,false,true,false,true,org.apache.spark.serializer.JavaSerializer,92.063
7,25520,44,14,false,33,0.9154122451549176,0.7578532849811818,16,false,25,404,21,2.2542077244105485,0.22171129875796566,30,lzf,84,62,true,9,57,145,282,9,true,false,false,false,org.apache.spark.serializer.KryoSerializer,56.954
3,22542,32,14,true,59,0.9639454105894966,0.6365081490636182,62,true,16,466,59,4.269041347271493,0.3610106733191608,128,lz4,103,87,true,13,29,497,413,8,false,true,false,true,org.apache.spark.serializer.JavaSerializer,88.848
12,17272,14,20,true,24,0.971210716699226,0.7450408784145113,34,false,95,303,99,1.1058178119128423,0.8741827562336538,49,lz4,123,113,false,103,93,169,226,10,true,false,true,false,org.apache.spark.serializer.JavaSerializer,55.854
9,21343,34,32,true,55,0.6435301316364359,0.736424058976955,112,false,72,237,87,1.774095059310651,0.6382947607733382,34,lzf,73,68,false,16,38,132,156,7,true,true,false,true,org.apache.spark.serializer.KryoSerializer,54.727
12,42166,35,32,false,96,0.9692222242913668,0.9951839926262656,20,true,49,440,41,3.4261397981791446,0.8812595714858362,125,lz4,118,116,false,62,127,476,137,3,true,true,false,true,org.apache.spark.serializer.JavaSerializer,63.602
2,12348,9,9,false,46,0.9450784357988752,0.6979135661837594,52,true,110,391,19,2.6144280024782374,0.3216602294812376,8,lz4,89,11,true,117,118,113,50,5,true,false,true,true,org.apache.spark.serializer.KryoSerializer,76.044
3,6729,13,32,true,55,0.6731602441378879,0.822746126851101,81,true,85,825,31,3.8453498687388628,0.5259933168034603,85,lzf,125,34,false,103,34,357,461,6,false,false,false,false,org.apache.spark.serializer.KryoSerializer,56.919
7,21770,42,10,false,23,0.7361705581474813,0.7105678079318436,27,false,20,703,40,4.306969288574754,0.9964908035568917,38,lzf,96,47,false,110,62,170,297,2,false,true,false,true,org.apache.spark.serializer.JavaSerializer,54.777
7,34902,19,48,true,85,0.8342572503168096,0.7034026872276633,49,false,34,915,73,2.3886382514058404,0.6605944134473086,106,lz4,69,126,true,24,69,194,124,2,true,true,false,true,org.apache.spark.serializer.KryoSerializer,67.721
10,21883,26,39,true,62,0.7626505948126722,0.8063253165269814,31,false,23,930,81,2.3803410702353593,0.9646381624287053,40,lz4,80,20,false,35,9,168,297,3,false,true,true,false,org.apache.spark.serializer.KryoSerializer,54.314
16,25194,43,42,false,64,0.9731507387086273,0.8363176786804906,111,false,109,584,56,2.7815616949427167,0.6260699028655059,29,lz4,89,86,true,109,5,109,339,2,false,false,true,false,org.apache.spark.serializer.KryoSerializer,52.8
11,28979,39,36,false,63,0.8094327502492306,0.9199995675720485,31,true,85,109,76,3.2195535059480513,0.5327435580809926,43,lzf,90,3,true,73,18,438,26,4,true,true,false,false,org.apache.spark.serializer.JavaSerializer,59.495
3,29485,9,14,false,76,0.8918487044867975,0.6914459917357887,97,false,117,852,63,4.003181023884597,0.4688481251541772,100,lz4,90,31,true,43,63,185,354,8,false,true,true,true,org.apache.spark.serializer.JavaSerializer,115.324
2,15881,31,44,false,23,0.7037011477677246,0.645081597330575,79,true,63,772,62,2.6620588359546122,0.6333268337494073,54,lzf,107,64,false,90,89,267,284,4,true,false,false,false,org.apache.spark.serializer.JavaSerializer,91.317
9,38775,11,44,true,38,0.6022320872678665,0.7859481538333231,97,false,9,257,96,3.832903738836196,0.5025140905994663,50,lzf,94,65,true,121,107,283,442,6,true,true,true,true,org.apache.spark.serializer.KryoSerializer,70.964
12,6790,44,13,true,56,0.7192897575637456,0.9048066495314815,33,true,119,666,61,1.1927797883583928,0.294676467429746,54,lz4,99,31,false,52,109,122,132,2,false,true,true,true,org.apache.spark.serializer.JavaSerializer,54.272
5,16113,12,38,false,42,0.8922044333760311,0.9025654409024367,23,true,76,360,62,2.8886505594920573,0.4118987594497302,115,lzf,73,75,false,19,120,95,340,6,false,false,true,false,org.apache.spark.serializer.KryoSerializer,69.489
5,26347,40,28,true,91,0.6542856370762247,0.9778713537960554,117,true,107,476,13,2.4507215222236285,0.766346485732836,107,lz4,75,17,true,45,48,449,411,4,false,false,false,true,org.apache.spark.serializer.JavaSerializer,64.537
11,24224,31,28,false,14,0.9993186795708298,0.8471321561564888,58,false,126,389,36,2.552539410149831,0.8414341782568986,39,lzf,95,26,false,114,38,166,158,10,true,true,true,false,org.apache.spark.serializer.KryoSerializer,58.079
11,34251,43,20,false,92,0.6065204473925311,0.6134457654297688,83,true,94,781,87,4.339032476268206,0.8421103632418764,20,lzf,115,89,true,45,109,111,406,6,false,false,false,true,org.apache.spark.serializer.KryoSerializer,64.531
9,16165,36,16,true,77,0.652159699401087,0.7712015952003357,19,true,31,110,90,1.5448066820855784,0.19409181176449042,102,lzf,120,3,false,15,95,106,318,4,false,true,true,true,org.apache.spark.serializer.KryoSerializer,54.049
14,22019,14,32,true,87,0.8997316302198866,0.6990570151643614,52,true,96,665,66,1.7326382063020447,0.8268099698188933,16,lz4,72,125,true,30,74,455,472,6,true,true,true,true,org.apache.spark.serializer.JavaSerializer,54.984
2,1304,14,21,false,30,0.7784857109167305,0.6801141947291849,83,false,64,651,34,2.027647989701662,0.952826325904254,70,lz4,95,117,false,121,52,318,266,9,false,false,true,false,org.apache.spark.serializer.JavaSerializer,62.813
11,36058,45,17,false,83,0.8372047023048275,0.9165712988585943,108,false,33,575,62,1.679157869691778,0.5970473056985969,48,lzf,116,117,false,35,123,155,492,2,false,false,false,true,org.apache.spark.serializer.JavaSerializer,64.284
4,26816,37,31,true,45,0.9949827282693202,0.9480068426489444,42,true,33,745,83,1.6985837177403478,0.660253154435107,109,lz4,91,111,true,90,71,112,88,6,false,false,false,true,org.apache.spark.serializer.KryoSerializer,72.545
11,29971,28,39,false,18,0.7828362422149556,0.8798423334738408,27,false,65,309,25,1.4678650476824622,0.23438551544513236,68,lzf,114,72,false,58,93,119,484,6,false,false,true,true,org.apache.spark.serializer.JavaSerializer,59.081
