executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
1,25600,8,8,false,60,0.6912841796875,0.5833740234375,32,false,108,275,100,3.7978515625,0.75,24,lz4,93,32,true,52,64,50,83,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,234.748
1,25600,36,43,false,49,0.675048828125,0.5,32,false,93,200,100,4.357421875,0.13134765625,4,lz4,69,32,true,64,64,390,91,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,237.154
4,26226,41,37,false,54,0.8506539133940292,0.6253045112354844,100,true,120,552,78,3.5917287026020133,0.2837255181994175,16,lz4,100,19,true,94,76,490,258,6,false,true,true,false,org.apache.spark.serializer.JavaSerializer,96.269
1,32345,22,21,false,10,0.5855712890625,0.5,32,false,34,190,100,1.5,0.141845703125,4,lz4,64,39,true,89,64,320,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,305.577
13,26273,35,50,true,70,0.6879909063542138,0.667613190990069,126,true,121,538,36,2.197382198853841,0.6661462114698148,106,lz4,88,60,true,115,104,219,82,4,false,true,false,false,org.apache.spark.serializer.KryoSerializer,111.373
12,33774,9,49,true,33,0.7030675176254109,0.7611706717727027,19,true,6,507,89,4.130447870883819,0.3030318504083094,91,lzf,91,98,false,19,15,56,22,7,true,false,false,true,org.apache.spark.serializer.KryoSerializer,132.433
6,34759,46,33,false,10,0.6,0.89495849609375,32,false,48,293,59,1.5,0.3043212890625,4,lz4,64,32,true,64,37,232,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,126.465
15,25600,33,8,false,10,0.6,0.5,118,false,81,945,30,1.8251953125,0.113525390625,4,lz4,64,32,true,64,109,359,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,95.457
12,30477,31,42,false,54,0.8486712580661666,0.7826177152880656,81,true,112,912,88,1.7593637222816758,0.6726846930412682,53,lz4,128,27,true,89,120,144,221,6,false,false,false,false,org.apache.spark.serializer.KryoSerializer,101.816
1,25600,8,20,false,10,0.6,0.5,32,false,23,136,66,1.6650390625,0.660888671875,9,lz4,64,86,true,64,7,96,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,232.192
1,25600,8,44,false,10,0.6600341796875,0.5,32,false,109,355,33,2.5478515625,0.117919921875,20,lz4,64,32,true,64,40,50,413,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,228.245
12,25600,8,42,false,10,0.7762451171875,0.5,32,false,48,105,85,3.8486328125,0.784912109375,13,lz4,64,68,true,64,64,59,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,102.985
9,25600,22,30,false,10,0.6,0.5,83,false,48,484,54,4.37744140625,0.75,4,lz4,95,32,true,64,64,135,199,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,92.252
6,25600,8,47,false,10,0.9156494140625,0.6441650390625,32,false,92,253,100,4.9736328125,0.115478515625,4,lz4,71,32,true,17,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,113.937
5,25600,42,8,false,96,0.808349609375,0.5,32,false,48,410,100,1.5,0.75,43,lz4,100,72,true,64,125,118,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,103.294
1,25600,8,39,false,10,0.50665283203125,0.5,93,false,121,200,28,1.73681640625,0.75,4,lz4,77,52,true,64,32,325,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,236.047
8,25600,8,46,false,10,0.70819091796875,0.5,105,false,92,200,100,1.45458984375,0.75,4,lz4,71,66,true,64,63,172,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,79.035
1,25600,8,8,false,10,0.53765869140625,0.96343994140625,32,false,40,200,90,1.53564453125,0.8184814453125,4,lz4,64,32,true,26,100,347,251,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,239.847
6,25600,24,8,false,10,0.87884521484375,0.5,32,false,20,200,95,2.16748046875,0.9864501953125,4,lz4,64,32,true,64,30,79,461,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,133.292
1,25600,41,8,false,10,0.6378173828125,0.5919189453125,32,false,35,200,24,4.1708984375,0.611572265625,4,lz4,64,74,true,15,64,487,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,238.403
13,41089,32,41,false,25,0.6492352083025082,0.6516236409447435,89,true,119,953,34,2.8461006196930954,0.34035768259805577,22,lzf,104,72,true,114,109,295,149,3,false,true,false,true,org.apache.spark.serializer.KryoSerializer,139.748
3,25600,8,8,false,99,0.6746826171875,0.5262451171875,32,false,61,200,30,1.5,0.75,4,lz4,117,105,true,88,89,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,130.213
1,25600,45,8,false,10,0.90771484375,0.5,32,false,19,200,14,4.71484375,0.6279296875,32,lz4,64,86,true,79,38,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,223.686
13,25600,8,25,false,10,0.83099365234375,0.5,32,false,63,200,24,2.65966796875,0.1485595703125,4,lz4,64,101,true,115,45,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,98.549
1,25600,8,26,false,10,0.76177978515625,0.91094970703125,91,false,48,261,100,3.69970703125,0.1507568359375,4,lz4,71,32,true,64,46,50,297,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,242.146
2,36841,22,44,true,34,0.9123456031088615,0.698993503571479,45,false,42,186,86,1.3834584832170813,0.6358308633396165,52,lzf,68,76,true,60,66,114,327,8,false,false,false,true,org.apache.spark.serializer.KryoSerializer,270.633
10,25600,8,24,false,10,0.987518310546875,0.640167236328125,90,false,48,890,100,3.364501953125,0.75,4,lz4,72,32,true,64,71,50,80,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,93.549
1,25600,8,26,false,10,0.5452880859375,0.5,32,false,48,200,100,4.5966796875,0.165771484375,4,lz4,64,47,true,101,43,283,47,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,235.524
11,41696,32,26,false,69,0.7291106644972921,0.6179451471598099,53,false,68,677,27,4.240369352625871,0.2082400349834681,63,lzf,106,109,true,124,79,209,353,4,false,true,false,false,org.apache.spark.serializer.JavaSerializer,105.461
6,25600,8,37,false,10,0.60247802734375,0.5,32,false,5,870,100,1.5,0.1949462890625,4,lz4,106,32,true,64,64,407,357,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,112.653
11,32453,33,33,true,90,0.994795677680606,0.8790016797340037,53,false,104,883,15,1.501950770211932,0.35022066227418125,55,lzf,79,102,false,42,75,213,96,8,false,false,false,true,org.apache.spark.serializer.JavaSerializer,160.838
6,25600,19,48,false,10,0.845947265625,0.5,9,false,48,200,37,1.5,0.46142578125,4,lz4,64,56,true,64,64,101,228,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,109.438
2,25600,8,8,false,10,0.92791748046875,0.5,32,false,84,200,37,1.5,0.2806396484375,78,lz4,64,116,true,64,77,390,219,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,141.608
10,25600,8,8,false,10,0.63983154296875,0.5,32,false,48,200,47,1.16552734375,0.7630615234375,52,lz4,103,32,true,64,63,289,75,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,79.298
9,25600,8,23,false,10,0.6,0.950164794921875,32,false,48,761,100,4.334716796875,0.95220947265625,4,lz4,64,32,true,88,4,165,232,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,91.821
13,29304,15,28,true,59,0.8851044957921795,0.7913713581104638,9,false,58,267,60,2.6126440564185325,0.3268856386787892,76,lz4,97,39,true,99,73,293,115,6,false,false,false,true,org.apache.spark.serializer.JavaSerializer,101.17
14,26853,8,35,false,10,0.61163330078125,0.5,32,false,100,200,56,1.56591796875,0.75,4,lz4,64,23,true,64,68,160,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,96.828
13,30767,8,8,false,10,0.945037841796875,0.5,18,false,48,819,58,1.5,0.09405517578125,113,lz4,64,9,true,64,86,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,83.211
7,29584,35,46,false,10,0.6,0.5,32,false,72,200,100,4.62451171875,0.75,4,lz4,112,89,true,64,120,50,477,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,101.466
1,25600,8,8,false,10,0.91290283203125,0.5,8,false,48,927,99,4.04931640625,0.9752197265625,105,lz4,64,41,true,45,64,403,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,230.835
1,25600,8,8,false,10,0.683685302734375,0.5,77,false,22,725,19,3.150634765625,0.30303955078125,4,lz4,64,21,true,64,64,206,176,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,241.25
1,42436,8,8,false,10,0.6,0.5,88,false,20,692,86,3.11083984375,0.1168212890625,4,lz4,64,32,true,64,64,485,484,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,478.598
1,31799,8,8,false,10,0.6,0.5,113,false,95,745,16,1.964111328125,0.15875244140625,4,lz4,64,32,true,64,38,360,361,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,307.818
1,42838,8,8,false,10,0.916290283203125,0.5,53,false,91,194,86,1.5,0.65313720703125,4,lz4,64,32,true,86,64,359,113,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,467.803
6,33435,8,8,false,10,0.6,0.5,59,false,48,908,78,1.302001953125,0.37896728515625,4,lz4,64,32,true,55,64,432,431,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,139.57
12,34829,42,38,false,23,0.8447708990341943,0.7005154133563294,50,true,61,863,58,3.915683991024835,0.7748122646949335,48,lz4,124,102,false,126,55,462,234,3,true,true,true,false,org.apache.spark.serializer.KryoSerializer,145.894
11,38858,9,45,false,30,0.8849079698018458,0.6653802320772645,19,false,34,273,68,2.495596307269979,0.40848779717483497,29,lzf,102,65,false,14,16,222,122,3,true,true,true,true,org.apache.spark.serializer.JavaSerializer,107.715
5,25600,8,9,false,10,0.71258544921875,0.81488037109375,32,false,122,394,100,2.32275390625,0.4283447265625,4,lz4,64,32,true,64,64,464,144,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,110.46
9,25600,8,8,false,10,0.6,0.68414306640625,32,false,48,517,42,4.55126953125,0.8927001953125,4,lz4,64,93,true,71,64,352,122,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,92.955
2,25600,8,8,false,10,0.92425537109375,0.88787841796875,76,false,48,200,76,1.5,0.1605224609375,4,lz4,64,32,true,88,33,376,248,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,160.08
7,25600,8,8,false,10,0.5267333984375,0.8172607421875,32,false,48,200,95,1.5,0.75,61,lz4,64,41,true,70,111,471,133,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,87.43
7,25600,8,8,false,10,0.53314208984375,0.5,32,false,49,346,100,2.67138671875,0.5579833984375,4,lz4,64,111,true,72,64,315,483,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,99.625
1,25600,34,39,false,10,0.84918212890625,0.5,78,false,48,200,34,3.15869140625,0.3406982421875,31,lz4,64,32,true,56,64,446,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,233.948
1,25600,8,34,false,10,0.95159912109375,0.5,8,false,48,382,89,1.23583984375,0.6480712890625,91,lz4,64,32,true,64,64,133,229,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,218.106
6,25600,8,41,false,10,0.803009033203125,0.5,115,false,48,750,98,1.556396484375,0.75,60,lz4,64,32,true,64,64,141,326,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,97.725
10,25600,8,36,false,10,0.783203125,0.5,32,false,14,200,100,3.984375,0.69921875,4,lz4,64,32,true,67,20,477,250,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,90.251
1,25600,8,29,false,10,0.6,0.5,81,false,68,416,67,1.5,0.7823486328125,4,lz4,64,32,true,79,112,92,401,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,238.63
1,25600,8,26,false,10,0.71417236328125,0.5,108,false,92,122,100,1.5,0.1636962890625,4,lz4,64,32,true,70,98,365,145,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,235.664
