executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
4,32899,19,45,false,10,0.6,0.5,32,false,48,534,100,1.5,0.89013671875,88,lz4,64,32,true,49,64,50,389,4,true,true,true,false,org.apache.spark.serializer.JavaSerializer,88.128
13,41974,19,15,true,11,0.7535245943614393,0.8680534343202413,126,false,22,615,57,1.3064269998687008,0.5838090204907914,59,lzf,71,31,true,17,10,431,203,10,true,true,true,false,org.apache.spark.serializer.KryoSerializer,77.705
1,25600,8,8,false,48,0.5596923828125,0.7950439453125,32,false,39,326,27,1.5,0.75,122,lz4,64,32,true,87,64,374,351,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,105.947
2,25600,8,8,false,65,0.568115234375,0.5,32,false,84,878,100,3.314453125,0.96435546875,94,lz4,64,32,true,64,64,492,61,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,64.989
1,25600,34,12,false,56,0.72210693359375,0.5,32,false,32,200,55,4.92431640625,0.75,4,lz4,64,48,true,30,64,416,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,113.181
1,25600,8,40,false,17,0.790771484375,0.5,32,false,48,200,18,1.5,0.71142578125,4,lz4,87,62,true,64,64,320,102,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,136.606
1,25600,46,40,false,16,0.849853515625,0.5,32,false,48,200,84,1.5,0.86474609375,39,lz4,64,110,true,64,64,414,390,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,133.312
1,35666,45,29,false,38,0.5482177734375,0.5,32,false,48,200,26,1.5,0.75,4,lz4,64,20,true,127,64,190,193,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,190.511
7,29000,19,22,true,91,0.6314334065767697,0.6214833562598507,97,true,15,571,26,3.4817466014063796,0.15465200278291114,18,lzf,90,59,false,42,113,146,295,4,true,false,true,false,org.apache.spark.serializer.JavaSerializer,75.162
7,38178,39,15,false,59,0.8218623911411704,0.6244219041485852,38,false,31,185,59,2.260659302490767,0.7220910368325308,72,lz4,128,46,false,19,28,83,337,9,true,true,true,true,org.apache.spark.serializer.KryoSerializer,85.786
3,37585,12,36,true,91,0.8409878068979255,0.9236584046768783,6,true,121,532,46,1.5308933066687078,0.8399648631412271,93,lz4,72,4,true,64,57,293,248,6,false,true,true,false,org.apache.spark.serializer.JavaSerializer,138.615
5,25600,25,8,false,10,0.6,0.74749755859375,90,false,48,200,31,1.5,0.2479248046875,57,lz4,94,87,true,64,64,77,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,72.62
10,25790,17,43,true,65,0.8619297974914732,0.6045341666978555,105,true,31,178,100,3.2038690925277247,0.771444291999987,56,lzf,72,33,true,120,86,334,56,3,true,false,false,true,org.apache.spark.serializer.JavaSerializer,66.036
1,33785,37,8,false,26,0.6,0.6871337890625,32,false,44,200,65,1.0048828125,0.529541015625,109,lz4,64,32,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,162.434
1,25600,8,8,false,58,0.681640625,0.564453125,32,false,37,200,60,3.546875,0.05859375,91,lz4,64,32,true,24,64,50,400,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,104.709
1,25600,38,8,false,20,0.69024658203125,0.91119384765625,32,false,48,200,29,4.77783203125,0.1859130859375,4,lz4,64,62,true,64,83,50,322,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,109.104
1,34156,40,8,false,33,0.6,0.55755615234375,85,false,108,200,88,4.95166015625,0.75,4,lz4,64,69,true,64,45,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,164.59
1,40364,8,8,false,14,0.9622802734375,0.7396240234375,70,false,34,200,100,3.8154296875,0.75,4,lz4,64,113,true,28,116,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,213.139
14,38189,15,40,true,34,0.7452596650798179,0.979041841116764,124,true,61,257,55,4.221024958777393,0.7542782165936974,101,lz4,128,117,false,115,105,481,206,6,false,true,false,false,org.apache.spark.serializer.JavaSerializer,112.442
12,26851,12,42,false,20,0.6867489391807158,0.8689153661415727,100,false,90,335,71,2.023159464952922,0.42565249807778793,93,lz4,96,46,true,40,105,110,120,3,false,true,true,false,org.apache.spark.serializer.KryoSerializer,77.929
14,29383,13,35,false,13,0.6506036284493156,0.7483402989231693,60,false,74,579,47,4.203731999641918,0.25078960878048556,116,lz4,104,50,false,34,119,335,426,10,true,true,true,false,org.apache.spark.serializer.JavaSerializer,76.159
3,30572,47,44,true,78,0.6706738512989902,0.8385784298319661,32,false,60,228,93,3.5040314037127622,0.8056636230083898,19,lzf,121,32,false,46,11,409,266,9,true,true,false,false,org.apache.spark.serializer.JavaSerializer,81.353
1,25600,8,35,false,25,0.6,0.98553466796875,126,false,24,200,89,1.5,0.75,14,lz4,84,82,true,64,64,380,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,130.554
1,35369,8,41,false,82,0.6,0.6910400390625,32,false,48,200,26,1.5,0.201904296875,91,lz4,64,67,true,77,64,379,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,198.681
