executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
2,28105,41,12,true,51,0.7935788595134343,0.8056381210877297,36,true,17,717,86,1.311145508479129,0.773473943439661,120,lz4,107,27,true,82,75,372,233,8,true,false,false,true,org.apache.spark.serializer.KryoSerializer,136.321
3,28014,34,16,true,89,0.7548884561000114,0.6718972427268736,93,false,107,851,53,3.838130552039047,0.3244691750316229,34,lz4,82,73,false,51,11,399,345,8,true,true,true,true,org.apache.spark.serializer.JavaSerializer,104.703
5,27647,39,14,true,46,0.9188520334738514,0.613105130810817,91,false,4,686,55,3.6981405804542495,0.12955640282334227,51,lz4,83,67,false,46,12,81,476,2,true,false,false,false,org.apache.spark.serializer.KryoSerializer,96.376
14,25785,39,16,true,89,0.7494578924966453,0.922510124467531,116,true,99,452,53,4.483040548650395,0.296319424735443,100,lzf,66,69,false,91,13,100,460,7,false,false,true,false,org.apache.spark.serializer.KryoSerializer,94.594
3,29208,41,18,false,24,0.9287865575408406,0.8069019892746772,82,false,14,327,67,4.737917884832211,0.5684763958472623,128,lz4,107,35,true,82,12,426,366,6,false,false,false,false,org.apache.spark.serializer.JavaSerializer,110.893
4,25924,46,14,true,90,0.8817012316847335,0.673030031988118,113,true,113,203,65,4.389559172684386,0.3294829759784981,71,lzf,110,88,true,83,32,92,472,8,true,true,false,true,org.apache.spark.serializer.JavaSerializer,96.912
10,26554,19,14,false,83,0.6795238621213566,0.6817188602715524,52,true,124,344,12,4.752133788850317,0.9948687461163399,67,lzf,125,30,false,45,6,53,295,9,false,true,true,false,org.apache.spark.serializer.KryoSerializer,89.891
2,27161,42,8,false,75,0.9075927734375,0.5,32,false,123,200,26,3.5927734375,0.75,4,lz4,64,32,true,64,5,50,358,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,99.002
11,27913,18,29,true,60,0.8625054053545775,0.83292927047936,52,true,24,257,92,4.9739691506473545,0.12589555166354152,59,lzf,117,47,false,34,35,73,422,2,true,true,false,true,org.apache.spark.serializer.KryoSerializer,111.669
2,27566,47,15,false,41,0.7366943359375,0.5,32,false,48,200,32,4.9228515625,0.75,4,lz4,64,32,true,64,15,50,459,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,158.618
