executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
1,25600,24,8,false,91,0.6,0.7357177734375,32,false,91,200,46,1.2041015625,0.75,4,lz4,64,116,true,116,64,388,72,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,262.426
1,25600,28,8,false,81,0.63348388671875,0.61468505859375,32,false,54,200,100,3.80224609375,0.75,4,lz4,64,103,true,51,64,440,353,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,230.555
1,29017,34,8,false,18,0.6,0.82635498046875,32,false,44,837,100,4.43017578125,0.4659423828125,4,lz4,64,47,true,64,64,50,95,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,254.907
1,25600,46,8,false,53,0.505615234375,0.5,32,false,5,200,100,3.958984375,0.95361328125,4,lz4,64,44,true,81,64,211,241,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,228.545
1,25600,8,8,false,37,0.88226318359375,0.5,32,false,45,200,77,2.72998046875,0.4202880859375,4,lz4,64,15,true,42,64,243,110,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,191.879
1,25600,8,8,false,35,0.612060546875,0.843017578125,32,false,30,200,46,4.998046875,0.75,4,lz4,64,47,true,74,64,374,464,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,224.974
1,25600,37,8,false,71,0.9512939453125,0.6798095703125,32,false,88,200,44,1.5,0.75,35,lz4,94,32,true,64,64,121,381,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,194.538
1,33034,17,8,false,24,0.75048828125,0.5,32,false,115,200,100,3.87109375,0.75,4,lz4,65,32,true,64,64,115,498,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,267.346
1,25600,39,8,false,10,0.828857421875,0.739501953125,112,false,48,200,22,1.5,0.69091796875,119,lz4,119,32,true,64,64,50,64,9,true,true,true,false,org.apache.spark.serializer.JavaSerializer,183.748
1,27625,11,8,false,36,0.810302734375,0.822998046875,32,false,110,200,100,1.232421875,0.75,4,lz4,125,32,true,64,64,450,406,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,260.926
