executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
6,36123,41,18,true,58,0.7607931083424619,0.7288083978577573,128,true,17,317,50,1.7135365548304715,0.8603004877356988,29,lzf,75,115,true,84,83,293,57,3,true,true,false,false,org.apache.spark.serializer.JavaSerializer,253.444
1,25600,8,28,false,10,0.940185546875,0.5,32,false,76,727,60,3.123046875,0.70556640625,4,lz4,77,32,true,64,64,50,291,3,true,true,true,true,org.apache.spark.serializer.JavaSerializer,350.248
8,29901,18,14,false,95,0.6155282580086968,0.7698582785434259,30,true,9,541,18,4.61361835495244,0.927860543748125,37,lzf,109,118,false,93,10,203,100,3,true,false,false,false,org.apache.spark.serializer.JavaSerializer,196.747
1,40558,8,8,false,10,0.53369140625,0.89404296875,3,false,48,200,100,1.5,0.75,115,lz4,127,32,true,40,126,476,120,9,true,true,true,false,org.apache.spark.serializer.JavaSerializer,532.051
1,34199,8,33,false,10,0.5001220703125,0.5,92,false,48,200,56,1.5,0.75,27,lz4,116,32,true,49,61,390,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,366.58
1,25804,30,8,false,10,0.6,0.82342529296875,97,false,48,737,100,1.5,0.75,98,lz4,76,32,true,27,122,438,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,322.706
1,33841,13,8,false,10,0.6,0.5,32,false,48,200,31,1.75146484375,0.75,16,lz4,127,3,true,83,107,410,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,351.611
1,26824,10,8,false,10,0.998046875,0.880859375,32,false,48,764,100,1.5,0.75,37,lz4,119,32,true,64,94,431,336,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,288.526
6,30478,30,40,false,12,0.994873871734469,0.8169920584296029,58,true,22,305,87,1.2594082665269886,0.769006757691907,99,lz4,108,14,true,123,65,273,234,5,true,true,true,true,org.apache.spark.serializer.KryoSerializer,313.681
1,30817,20,29,false,10,0.92596435546875,0.52899169921875,32,false,48,200,100,1.5,0.75,4,lz4,109,25,true,44,64,184,288,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,355.24
16,38754,36,48,false,83,0.9644914959510796,0.738704826556579,17,false,79,322,78,4.649830498102783,0.6008558251972304,77,lzf,126,77,true,71,81,101,86,9,false,true,false,false,org.apache.spark.serializer.JavaSerializer,270.965
1,28723,12,8,false,61,0.778564453125,0.600830078125,94,false,48,299,100,1.5,0.75,65,lz4,67,32,true,64,64,51,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,465.098
10,42577,21,18,false,63,0.8961455082591693,0.959398452151365,80,false,50,903,18,4.0395649484555705,0.11746679973723526,80,lzf,96,4,false,75,116,164,61,9,false,true,true,false,org.apache.spark.serializer.JavaSerializer,208.005
15,35023,47,25,false,33,0.89357946765224,0.6074033811353546,73,false,40,338,13,4.750603439738299,0.7099501331982826,8,lzf,89,115,true,74,109,164,432,2,true,false,false,false,org.apache.spark.serializer.JavaSerializer,227.34
1,25600,25,13,false,10,0.6,0.7950439453125,39,false,48,326,100,1.7958984375,0.75,122,lz4,106,32,true,94,64,50,351,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,289.156
1,25600,8,8,false,10,0.50836181640625,0.75836181640625,96,false,48,200,100,4.64501953125,0.75,85,lz4,81,32,true,77,103,187,283,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,323.847
1,28207,36,8,false,10,0.52679443359375,0.78778076171875,32,false,115,200,100,1.53857421875,0.75,4,lz4,110,32,true,64,48,79,489,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,357.563
1,32257,8,25,false,10,0.87884521484375,0.5,20,false,48,200,100,4.79443359375,0.75,4,lz4,82,32,true,126,30,79,461,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,375.451
1,39871,8,49,false,10,0.83538818359375,0.5,32,false,48,385,100,2.95458984375,0.75,4,lz4,92,32,true,99,21,54,51,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,519.868
1,29371,8,49,false,10,0.731689453125,0.866455078125,32,false,48,200,77,2.576171875,0.75,62,lz4,112,32,true,64,64,478,109,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,374.923
1,30349,34,20,false,10,0.83319091796875,0.81903076171875,32,false,48,200,12,1.98486328125,0.75,48,lz4,74,32,true,64,64,50,255,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,376.036
4,28643,20,39,true,20,0.7615548858592082,0.8006134987688177,21,false,17,901,87,1.6718797121383568,0.8330162163399953,43,lzf,84,25,true,119,54,177,224,5,true,false,true,false,org.apache.spark.serializer.KryoSerializer,236.222
1,40345,8,39,false,10,0.6,0.575714111328125,32,false,90,423,100,1.5,0.75,4,lz4,64,32,true,105,64,74,92,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,576.06
13,34774,17,40,false,99,0.7579052976236069,0.9892100494184902,9,true,103,746,30,3.120701537819281,0.9177979369765188,76,lzf,74,13,false,66,80,274,418,5,false,false,true,false,org.apache.spark.serializer.KryoSerializer,252.342
1,26664,8,8,false,10,0.6,0.57574462890625,99,false,53,200,50,1.5,0.75,78,lz4,122,32,true,83,73,468,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,311.799
1,35259,40,11,false,70,0.6,0.65606689453125,32,false,48,368,100,1.5,0.75,4,lz4,64,17,true,103,64,140,225,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,463.459
1,32047,8,29,false,99,0.6,0.602569580078125,32,false,48,974,100,3.720947265625,0.75,4,lz4,119,103,true,20,64,119,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,347.14
1,25600,25,23,false,27,0.5089111328125,0.7926025390625,32,false,48,200,81,1.5,0.75,3,lz4,124,98,true,64,64,321,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,296.486
1,32059,12,14,false,10,0.6,0.62469482421875,32,false,48,200,40,3.24951171875,0.75,46,lz4,102,6,true,73,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,361.87
1,38509,8,8,false,10,0.713104248046875,0.953643798828125,32,false,48,200,99,4.068603515625,0.91339111328125,79,lz4,99,32,true,64,64,386,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,493.783
1,25600,8,8,false,58,0.71795654296875,0.94232177734375,32,false,48,200,84,1.42724609375,0.0594482421875,5,lz4,85,32,true,64,64,246,210,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,315.335
6,38281,11,37,true,80,0.9599647107875371,0.929046358249374,116,true,82,888,12,1.5934084301092848,0.20667874575160938,54,lzf,103,32,true,101,105,401,70,3,true,true,false,true,org.apache.spark.serializer.KryoSerializer,226.646
15,35802,19,48,true,87,0.9199429777351221,0.7208218745980135,96,true,82,798,62,4.459247121940625,0.4694557181696706,14,lzf,117,126,true,97,42,150,223,9,true,false,true,true,org.apache.spark.serializer.JavaSerializer,235.694
1,29935,40,8,false,10,0.91741943359375,0.99090576171875,32,false,48,715,53,1.77783203125,0.5235595703125,4,lz4,64,32,true,109,74,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,422.351
1,25600,8,8,false,10,0.87847900390625,0.73394775390625,32,false,48,392,100,2.21533203125,0.4405517578125,11,lz4,70,32,true,31,127,364,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,345.632
1,30655,8,8,false,10,0.74774169921875,0.58538818359375,32,false,48,835,100,4.95458984375,0.9393310546875,35,lz4,106,32,true,69,64,50,291,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,349.336
1,25600,8,36,false,67,0.6,0.78240966796875,32,false,48,790,40,1.5,0.6683349609375,4,lz4,120,14,true,64,64,379,207,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,300.499
1,35203,41,8,false,92,0.548095703125,0.682861328125,32,false,48,598,100,2.103515625,0.75,4,lz4,64,32,true,80,38,50,332,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,425.263
1,25600,26,8,false,10,0.56036376953125,0.59429931640625,32,false,48,668,100,3.53369140625,0.75,4,lz4,123,32,true,24,49,352,88,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,294.716
1,43543,8,8,false,77,0.6,0.84124755859375,32,false,48,565,26,3.24169921875,0.75,112,lz4,66,32,true,21,80,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,563.553
1,43670,23,8,false,53,0.6,0.624176025390625,32,false,48,330,21,1.023681640625,0.75,82,lz4,95,32,true,64,34,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,647.526
1,41227,28,8,false,63,0.6,0.716827392578125,32,false,48,213,60,1.102783203125,0.75,32,lz4,64,32,true,64,119,310,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,618.995
1,25600,8,8,false,14,0.905181884765625,0.673187255859375,32,false,48,170,84,1.475830078125,0.75,62,lz4,76,117,true,64,75,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,274.852
1,32301,36,33,false,10,0.6,0.888153076171875,32,false,48,796,100,2.577880859375,0.75,4,lz4,89,37,true,34,64,157,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,370.11
1,37252,44,8,false,10,0.52459716796875,0.65716552734375,113,false,48,200,100,1.5,0.75,9,lz4,105,91,true,64,25,246,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,503.753
12,30007,10,29,true,54,0.6066430036269722,0.9391225904351044,94,true,74,882,47,2.1237681563816864,0.19293630503888887,34,lz4,123,68,true,12,23,110,176,8,true,false,true,false,org.apache.spark.serializer.KryoSerializer,276.375
1,30473,8,19,false,10,0.9859619140625,0.7769775390625,32,false,31,661,81,1.5,0.75,4,lz4,72,32,true,64,45,50,349,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,418.26
1,31072,8,8,false,10,0.7578125,0.9296875,32,false,43,200,95,1.5,0.75,51,lz4,65,55,true,64,43,50,162,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,401.796
1,32578,38,22,false,10,0.765899658203125,0.502777099609375,32,false,48,296,100,1.5,0.75,40,lz4,98,32,true,64,64,256,74,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,380.667
1,33328,8,8,false,10,0.6,0.51116943359375,32,false,101,613,97,1.5,0.75,75,lz4,71,78,true,64,64,359,407,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,435.676
1,31074,8,10,false,10,0.6,0.68145751953125,32,false,118,200,25,1.47314453125,0.75,99,lz4,86,64,true,64,64,50,285,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,408.34
1,37691,34,33,false,10,0.7432861328125,0.5894775390625,32,false,98,200,100,1.5,0.75,31,lz4,126,78,true,64,64,50,264,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,482.303
1,25719,21,18,false,10,0.83282470703125,0.58673095703125,32,false,118,200,15,1.5,0.75,83,lz4,124,32,true,64,64,50,306,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,320.057
1,30060,8,8,false,29,0.6,0.511993408203125,32,false,78,894,65,4.134521484375,0.75,39,lz4,72,32,true,64,64,58,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,450.705
1,31560,8,8,false,39,0.6,0.83233642578125,32,false,55,746,91,1.5,0.75,80,lz4,87,32,true,64,64,88,53,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,375.547
1,34184,8,8,false,10,0.556793212890625,0.726654052734375,32,false,79,204,25,1.5,0.75,111,lz4,114,32,true,64,64,497,255,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,382.066
11,34636,8,8,false,10,0.5810546875,0.7236328125,32,false,60,224,28,1.5,0.75,83,lz4,64,32,true,64,64,370,185,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,369.683
1,33500,20,8,false,10,0.6,0.879974365234375,32,false,41,969,90,4.371337890625,0.75,4,lz4,77,32,true,64,64,474,344,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,428.597
1,43670,23,8,false,53,0.624176025390625,0.628143310546875,32,false,18,105,67,2.969482421875,0.75,4,lz4,64,32,true,64,64,166,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,807.107
16,31058,31,43,true,59,0.8592696381734524,0.8118984108110469,111,false,52,585,20,2.7830529721952524,0.11693587195133427,70,lzf,119,28,true,58,110,454,195,8,false,true,true,false,org.apache.spark.serializer.KryoSerializer,267.759
1,37730,27,8,false,10,0.947845458984375,0.543121337890625,32,false,74,449,100,3.765869140625,0.75,4,lz4,117,32,true,64,64,348,41,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,496.218
13,27770,43,8,false,10,0.9389801025390625,0.5350189208984375,32,false,48,378,79,2.8665771484375,0.75,4,lz4,93,32,true,64,64,50,479,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,269.586
10,33928,37,17,false,10,0.6,0.899200439453125,32,false,48,200,95,1.5,0.75,94,lz4,105,32,true,64,64,225,121,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,264.22
