executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
13,28091,24,49,true,43,0.6060590795403699,0.6373813884307648,7,false,110,625,48,2.647746982370033,0.350942266051142,66,lzf,109,40,true,78,128,175,68,3,false,false,true,false,org.apache.spark.serializer.KryoSerializer,219.575
6,31948,28,17,false,33,0.7975448361137476,0.95092555986148,9,false,56,949,96,3.233491283581993,0.26955882880271576,116,lzf,80,61,true,48,104,425,91,3,false,true,false,false,org.apache.spark.serializer.JavaSerializer,122.747
13,41202,19,24,true,15,0.6854372092120602,0.7326313506996328,42,true,67,109,81,1.8514730123883387,0.9912290913044294,77,lz4,70,112,true,105,83,462,255,8,false,true,true,false,org.apache.spark.serializer.JavaSerializer,99.286
1,37354,36,8,false,10,0.6,0.55712890625,32,false,55,200,92,1.43359375,0.4775390625,4,lz4,64,65,true,32,23,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,735.614
15,30596,36,21,false,82,0.6043117464436717,0.9736650440039647,42,true,113,887,47,4.497021199773595,0.4848762406268873,103,lz4,115,4,true,72,108,102,74,10,true,true,true,true,org.apache.spark.serializer.KryoSerializer,89.238
1,25600,46,8,false,10,0.6,0.5,20,false,122,200,10,2.73388671875,0.75,93,lz4,64,32,true,57,28,195,401,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,366.133
1,41572,8,16,false,55,0.85247802734375,0.76214599609375,32,false,46,200,100,3.77978515625,0.75,4,lz4,64,32,true,27,39,141,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,727.427
3,40173,13,30,true,74,0.8846644701542921,0.7867133735247104,46,false,12,696,79,1.5701625976703482,0.5192162294485574,25,lzf,94,64,true,111,40,63,83,4,false,false,false,false,org.apache.spark.serializer.JavaSerializer,276.611
1,25600,38,8,false,10,0.7734375,0.5,27,false,48,200,92,1.1875,0.75,86,lz4,64,63,true,84,102,85,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,370.755
1,25600,35,33,false,10,0.6,0.5,113,false,48,200,94,1.9619140625,0.633544921875,109,lz4,64,32,true,123,10,459,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,371.614
